,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0013363686076108762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012454574455316892,0.0,0.0,0.0,0.0,0.0012459525203227558,0.0,0.00025518523823102145
bee,0.0003085082237327968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002220758276680267,0.0,0.0,0.0,0.0,0.00022557265405504843,0.0,5.041044703039146e-05
panther,0.0016471164197713998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014539807160851587,0.0,0.0,0.0,0.0,0.0014442654586817945,0.0,0.00030302417296922357
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tarantula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0007806666187978864,0.0,0.0,0.0,0.0,0.0,0.0005693719941687989,0.0,0.000654496766619106,0.0,0.0,0.0,0.0,0.0006576653571398428,0.0,0.00017748004911504226
spider,0.00046650339996875555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036100461266859495,0.0,0.0004772637607198288,0.0,0.0,0.00035859119299977687,0.0,0.00011089086442379707
dog,0.0012282978584022015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010746246908745177,0.0,0.0,0.0,0.0013699226485901024,0.0010788920865257084,0.0,0.00031678248562616866
jade,0.006368432260143269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005585734655451683,0.0,0.0,0.0,0.0,0.006071153356750559,0.0,0.0012016880181563675
robin,0.0002308400280619322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002622601416911321,0.000191525829598802,0.0,0.0,0.0,0.0002626136408989998,0.0,6.314930935005774e-05
lion,0.005374037749268477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004937704160382311,0.0,0.0,0.0,0.0,0.005026049969792866,0.0,0.001022519458629577
quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin,0.003664164013057673,0.0,0.0,0.0,0.0,0.0,0.0,0.005487251975611983,0.0028266002683544275,0.0,0.0,0.0,0.0,0.0028704007436389342,0.0,0.000989894466710868
frogfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
