,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
barn,0.0018152632911770017,0.0,0.0,0.0,0.0,0.0,0.001789352191735595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026413949944575394,0.00041640069849134244,0.0
zebra,0.004491891761452758,0.0,0.0,0.0050913358769196495,0.0,0.0,0.004439295980037005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009348349078939608,0.0
tar,0.002154840883712905,0.002943897604482768,0.0,0.0,0.0,0.0,0.0020790333871735832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004785181250246171,0.0
daffodil,0.014421304445466462,0.0,0.0,0.0,0.0,0.016710173196973262,0.01278840843529642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029279924051824097,0.0
flamingo,0.00532878474825394,0.0,0.004437084882304202,0.004075542429248372,0.0,0.0,0.005217234182808275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012705764161743192,0.0
cricket,0.00010184851835443693,0.0,0.0,8.970790682840482e-05,0.0,0.0,9.763836080311152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9279652399063554e-05,0.0
wine,0.0017604510478234049,0.0020014449487380137,0.0,0.0,0.0022225854133525315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039896542732759663,0.0
bee,0.000738742983448539,0.0,0.0,0.0007593213212870033,0.0,0.0,0.000727943924178613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014840054859427702,0.0
cider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0011658150021664755,0.0,0.0012966621190300918,0.0010896288914115624,0.0,0.0,0.001114663688645605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031111798008358235,0.0
coal,0.0006529243673498658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009113901981695209,0.0,0.0,0.0,0.0,0.0,0.00010428763770129245,0.0
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.004920626636331463,0.00423790828402124,0.0,0.0,0.0,0.004562060570469368,0.00482213105359546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012361817696278355,0.0
tire,0.00020073011979014212,0.0,0.0,0.0,0.0,0.0,0.00019288016240090155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.624068547940291e-05,0.0
beer,0.0036505745902036526,0.004115589374698983,0.0,0.0,0.004519075779917448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008190159829880056,0.0
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
