context,evidence_type,categories
tasters,NA,fruit
whose,NA,fruit
never,NA,fruit
pair,NA,fruit
in,NA,fruit
author,NA,fruit
happy,NA,fruit
twice,NA,fruit
recent,NA,fruit
responsible,NA,fruit
officials,NA,fruit
surprised,NA,fruit
deeply,NA,fruit
stars,NA,fruit
john,NA,fruit
gave,NA,fruit
live,NA,fruit
along,NA,fruit
five,NA,fruit
heavy,NA,fruit
