,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0024282089264326154,0.0,0.0,0.0,0.0024549819444057274,0.002623086360272558,0.0,0.0,0.0,0.0018950033332218738,0.0,0.0,0.0,0.0018151797301482855,0.0018771383951557946,0.0008729065793091237
jade,0.0009611940742245687,0.0,0.0,0.0,0.0011246157038790783,0.0,0.0,0.0,0.0,0.0007749808983751153,0.0,0.0,0.0,0.0,0.0007815729973393787,0.00024282424492120942
strawberry,0.0,0.0016857920259584335,0.0014063130506906055,0.0,0.0,0.0,0.0,0.0,0.0,0.001195760841956323,0.0,0.0,0.0,0.0012872113464881818,0.0012327286740818216,0.0004538537292783577
fruit,0.0,0.0013891541477049278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010350083990727779,0.0,0.0,0.0,0.0,0.0010441305098397692,0.00023121953710783166
berry,0.0,0.0015151360608197898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012832660671374641,0.0,0.0,0.0,0.0012725098444929376,0.0013338353902328502,0.0003603164908455361
currant,0.0,0.009209196955027482,0.007621024170629699,0.0,0.0,0.0,0.0,0.0,0.0,0.005989333456202795,0.0,0.0,0.0,0.006498525212735315,0.0058769523774158785,0.002346335478134078
pomegranate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0,0.0012997659043904822,0.0011565505041741372,0.0,0.0,0.0,0.0,0.0,0.0,0.0010387559151962035,0.0,0.0,0.0,0.0010381392292228922,0.0010396441772209648,0.00037152371534697866
apple,0.0,0.0026845951719489127,0.002254808624900298,0.0,0.0,0.0,0.0,0.0,0.0,0.0020884256906698873,0.0,0.0,0.0,0.001991349556736446,0.0020909723953104714,0.0007406767626377343
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.0038646979614470455,0.0033196467890518784,0.0,0.0,0.0,0.0,0.002383797266680195,0.0,0.0027290542631964888,0.0,0.0,0.0,0.0028280361623125544,0.002712650564368504,0.0011891922004704444
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
